Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Oakhurst CDP,"5,945","2,923","3,022",52.7,50.4,55.1,N/A,N/A,198,"1,019","4,764","2,841","2,369","1,813",50.8%,17.1%,,1600000US0652764,
Parksdale CDP,"3,234","1,621","1,613",27.8,27.7,28.0,N/A,N/A,289,"1,145","1,937",570,425,278,49.9%,35.4%,,1600000US0655751,
Parkwood CDP,"2,307","1,148","1,159",29.2,28.3,29.8,N/A,N/A,190,747,"1,443",448,338,227,50.2%,32.4%,,1600000US0655842,
Rolling Hills CDP,793,394,399,46.8,40.8,52.1,N/A,N/A,43,141,614,332,294,242,50.3%,17.8%,,1600000US0662625,
Yosemite Lakes CDP,"5,022","2,470","2,552",49.4,49.5,49.3,N/A,N/A,218,"1,011","3,866","2,191","1,810","1,390",50.8%,20.1%,,1600000US0686878,
Marin County,"262,321","128,593","133,728",46.5,45.1,47.8,N/A,N/A,"11,547","52,870","201,202","97,331","77,677","59,247",51.0%,20.2%,,0500000US06041,
Alto CDP,732,363,369,42.7,41.3,45.5,N/A,N/A,33,179,538,222,161,103,50.4%,24.5%,,1600000US0601416,
Belvedere city,"2,126",979,"1,147",52.9,52.6,53.2,N/A,N/A,63,457,"1,605","1,000",846,714,54.0%,21.5%,,1600000US0605164,
Black Point-Green Point CDP,"1,431",699,732,54.4,54.8,54.1,N/A,N/A,36,176,"1,203",698,581,464,51.2%,12.3%,,1600000US0606982,
Bolinas CDP,"1,483",723,760,54.5,53.6,55.7,N/A,N/A,40,207,"1,233",727,632,553,51.2%,14.0%,,1600000US0607316,
Corte Madera town,"10,222","4,886","5,336",44.3,42.8,45.6,N/A,N/A,536,"2,583","7,318","3,324","2,489","1,858",52.2%,25.3%,,1600000US0616462,
Dillon Beach CDP,246,125,121,57.5,59.3,57.1,N/A,N/A,6,29,207,138,107,78,49.2%,11.8%,,1600000US0619262,
Fairfax town,"7,605","3,674","3,931",49.5,48.7,50.1,N/A,N/A,273,"1,405","5,998","3,022","2,372","1,760",51.7%,18.5%,,1600000US0623168,
Inverness CDP,"1,379",656,723,61.1,60.3,61.9,N/A,N/A,34,155,"1,200",791,707,595,52.4%,11.2%,,1600000US0636616,
Kentfield CDP,"6,808","3,278","3,530",46.5,46.0,47.1,N/A,N/A,281,"1,740","4,819","2,405","1,903","1,479",51.9%,25.6%,,1600000US0638114,
Lagunitas-Forest Knolls CDP,"1,924",945,979,51.3,49.8,53.5,N/A,N/A,59,287,"1,601",879,702,530,50.9%,14.9%,,1600000US0639283,
Larkspur city,"13,064","6,037","7,027",49.2,47.8,50.3,N/A,N/A,506,"2,384","10,360","5,352","4,288","3,368",53.8%,18.2%,,1600000US0640438,
Lucas Valley-Marinwood CDP,"6,259","2,998","3,261",48.8,46.8,50.8,N/A,N/A,254,"1,372","4,706","2,506","2,042","1,582",52.1%,21.9%,,1600000US0644399,
Marin City CDP,"2,993","1,381","1,612",38.8,37.1,40.6,N/A,N/A,140,615,"2,279",817,629,441,53.9%,20.5%,,1600000US0645820,
Mill Valley city,"14,231","6,650","7,581",48.7,47.8,49.3,N/A,N/A,577,"3,202","10,581","5,483","4,363","3,356",53.3%,22.5%,,1600000US0647710,
Muir Beach CDP,304,158,146,53.7,57.7,50.3,N/A,N/A,17,45,246,147,120,101,48.0%,14.8%,,1600000US0649950,
Nicasio CDP,81,35,46,51.3,45.5,59.5,N/A,N/A,7,16,65,38,35,14,56.8%,19.8%,,1600000US0651280,
Novato city,"53,225","25,582","27,643",45.3,43.1,47.2,N/A,N/A,"2,490","10,932","40,533","19,518","15,588","11,767",51.9%,20.5%,,1600000US0652582,
Point Reyes Station CDP,895,414,481,56.0,54.9,57.4,N/A,N/A,26,130,739,458,394,328,53.7%,14.5%,,1600000US0657960,
Ross town,"2,338","1,133","1,205",45.8,45.3,46.0,N/A,N/A,118,671,"1,598",806,646,520,51.5%,28.7%,,1600000US0662980,
San Anselmo town,"12,830","6,071","6,759",47.2,46.6,47.8,N/A,N/A,570,"2,879","9,541","4,653","3,636","2,657",52.7%,22.4%,,1600000US0664434,
San Geronimo CDP,510,247,263,54.3,53.4,56.1,N/A,N/A,22,105,399,243,194,160,51.6%,20.6%,,1600000US0667070,
San Rafael city,"61,271","30,421","30,850",41.3,39.9,43.0,N/A,N/A,"3,269","12,564","46,271","19,477","15,673","12,076",50.4%,20.5%,,1600000US0668364,
Santa Venetia CDP,"4,289","2,037","2,252",50.2,48.4,52.1,N/A,N/A,163,715,"3,456","1,883","1,530","1,168",52.5%,16.7%,,1600000US0670154,
Sausalito city,"7,269","3,435","3,834",52.5,52.4,52.5,N/A,N/A,256,688,"6,492","3,341","2,692","2,015",52.7%,9.5%,,1600000US0670364,
Sleepy Hollow CDP,"2,401","1,171","1,230",50.0,50.7,49.5,N/A,N/A,61,587,"1,720",980,776,592,51.2%,24.4%,,1600000US0672184,
Stinson Beach CDP,541,255,286,60.4,62.4,59.8,N/A,N/A,11,36,495,303,274,224,52.9%,6.7%,,1600000US0674172,
Strawberry CDP ,"5,447","2,544","2,903",47.0,45.5,48.4,N/A,N/A,220,"1,092","4,232","2,045","1,644","1,265",53.3%,20.0%,,1600000US0675315,
Tamalpais-Homestead Valley CDP,"11,492","5,577","5,915",46.9,46.7,47.1,N/A,N/A,556,"2,734","8,430","4,082","3,148","2,325",51.5%,23.8%,,1600000US0677805,
Tiburon town,"9,146","4,338","4,808",49.2,48.4,49.7,N/A,N/A,366,"2,062","6,840","3,695","3,028","2,405",52.6%,22.5%,,1600000US0678666,
Tomales CDP,187,90,97,57.2,56.5,57.3,N/A,N/A,4,16,168,100,78,62,51.9%,8.6%,,1600000US0678890,
Woodacre CDP,"1,410",684,726,52.9,55.4,51.6,N/A,N/A,37,229,"1,150",664,563,448,51.5%,16.2%,,1600000US0686216,
Mariposa County,"17,131","8,609","8,522",52.1,50.7,53.2,N/A,N/A,730,"2,944","13,771","7,961","6,540","4,800",49.7%,17.2%,,0500000US06043,
Bear Valley CDP,156,77,79,33.0,31.6,39.8,N/A,N/A,23,56,99,61,52,36,50.6%,35.9%,,1600000US0604730,
Bootjack CDP,661,358,303,50.5,54.2,48.1,N/A,N/A,29,138,505,299,261,200,45.8%,20.9%,,1600000US0607525,
Buck Meadows CDP,21,17,4,40.5,39.3,50.0,N/A,N/A,0,3,17,5,4,3,19.0%,14.3%,,1600000US0608716,
Catheys Valley CDP,829,448,381,49.4,49.2,49.8,N/A,N/A,52,164,644,369,289,204,46.0%,19.8%,,1600000US0612062,
Coulterville CDP,115,53,62,48.3,45.9,59.0,N/A,N/A,3,18,94,54,47,25,53.9%,15.7%,,1600000US0616644,
Crane Creek CDP,29,10,19,31.5,28.7,32.5,N/A,N/A,0,3,26,7,7,5,65.5%,10.3%,,1600000US0616886,
El Portal CDP,372,201,171,36.7,38.3,35.2,N/A,N/A,17,63,309,95,67,41,46.0%,16.9%,,1600000US0622328,
Fish Camp CDP,49,27,22,55.6,59.3,55.3,N/A,N/A,0,0,49,27,17,14,44.9%,0.0%,,1600000US0624218,
Greeley Hill CDP,927,450,477,58.6,58.1,59.2,N/A,N/A,44,124,779,530,430,331,51.5%,13.4%,,1600000US0630900,
Hornitos CDP,38,22,16,49.5,40.0,57.0,N/A,N/A,0,0,38,18,11,9,42.1%,0.0%,,1600000US0634708,
Lake Don Pedro CDP,"1,765",888,877,54.7,54.5,54.8,N/A,N/A,58,266,"1,460",872,710,492,49.7%,15.1%,,1600000US0639484,
Mariposa CDP,"1,526",724,802,50.1,42.8,53.5,N/A,N/A,68,270,"1,215",687,593,458,52.6%,17.7%,,1600000US0645932,
Midpines CDP,379,199,180,44.8,44.3,45.5,N/A,N/A,12,70,302,137,93,69,47.5%,18.5%,,1600000US0647374,
Mt. Bullion CDP,154,75,79,49.0,47.4,53.3,N/A,N/A,6,23,129,62,61,41,51.3%,14.9%,,1600000US0649726,
Wawona CDP,111,59,52,49.5,45.5,52.5,N/A,N/A,2,20,91,52,41,28,46.8%,18.0%,,1600000US0683766,
Yosemite Valley CDP,337,157,180,36.3,38.2,34.7,N/A,N/A,19,61,269,75,49,22,53.4%,18.1%,,1600000US0686912,
Yosemite West CDP,47,31,16,44.5,37.3,59.0,N/A,N/A,0,2,43,17,15,4,34.0%,4.3%,,1600000US0686916,
Mendocino County,"91,601","45,837","45,764",43.2,41.8,44.8,N/A,N/A,"4,576","18,850","69,827","33,603","27,848","21,176",50.0%,20.6%,,0500000US06045,
Albion CDP,153,80,73,60.3,55.0,61.8,N/A,N/A,4,10,134,94,78,66,47.7%,6.5%,,1600000US0600716,
Anchor Bay CDP,473,212,261,60.4,57.0,61.2,N/A,N/A,5,37,430,274,241,155,55.2%,7.8%,,1600000US0602028,
Boonville CDP,"1,018",517,501,41.0,42.2,40.3,N/A,N/A,61,210,750,312,254,212,49.2%,20.6%,,1600000US0607512,
Brooktrails CDP,"3,632","1,876","1,756",37.9,37.0,39.1,N/A,N/A,214,876,"2,634","1,073",877,660,48.3%,24.1%,,1600000US0608530,
Calpella CDP,799,417,382,39.5,39.1,40.8,N/A,N/A,34,175,591,224,173,128,47.8%,21.9%,,1600000US0609990,
Caspar CDP,500,251,249,58.3,59.5,56.4,N/A,N/A,13,64,427,265,240,204,49.8%,12.8%,,1600000US0611768,
Cleone CDP,622,313,309,48.0,47.9,48.5,N/A,N/A,17,123,486,273,235,176,49.7%,19.8%,,1600000US0614008,
Comptche CDP,167,78,89,43.5,47.3,41.9,N/A,N/A,6,26,139,58,54,37,53.3%,15.6%,,1600000US0615030,
Covelo CDP,"1,394",775,619,35.4,34.8,36.2,N/A,N/A,113,361,987,341,270,186,44.4%,25.9%,,1600000US0616728,
Fort Bragg city,"6,983","3,363","3,620",43.3,41.4,45.3,N/A,N/A,322,"1,460","5,316","2,512","2,068","1,584",51.8%,20.9%,,1600000US0625058,
Hopland CDP,661,346,315,42.6,43.5,41.3,N/A,N/A,42,146,501,224,174,110,47.7%,22.1%,,1600000US0634652,
Laytonville CDP,"1,152",627,525,42.0,40.3,43.4,N/A,N/A,54,225,882,402,317,219,45.6%,19.5%,,1600000US0640928,
Leggett CDP,77,39,38,40.5,33.9,50.0,N/A,N/A,2,12,58,19,18,12,49.4%,15.6%,,1600000US0641026,
Little River CDP,94,39,55,67.3,61.8,72.5,N/A,N/A,2,10,84,62,56,50,58.5%,10.6%,,1600000US0641866,
Manchester CDP,159,83,76,43.5,51.2,40.3,N/A,N/A,7,34,117,62,50,38,47.8%,21.4%,,1600000US0645386,
Mendocino CDP,932,432,500,61.2,58.6,61.9,N/A,N/A,19,113,798,536,479,383,53.6%,12.1%,,1600000US0646814,
Philo CDP,319,192,127,39.8,41.0,33.8,N/A,N/A,15,68,234,95,72,47,39.8%,21.3%,,1600000US0656868,
Point Arena city,460,234,226,45.3,45.4,45.2,N/A,N/A,28,100,343,170,145,104,49.1%,21.7%,,1600000US0657876,
Potter Valley CDP,665,352,313,38.3,37.1,40.9,N/A,N/A,29,176,479,227,187,145,47.1%,26.5%,,1600000US0658506,
Redwood Valley CDP,"1,843",913,930,42.1,43.3,40.9,N/A,N/A,85,424,"1,388",646,541,375,50.5%,23.0%,,1600000US0660214,
Talmage CDP,986,409,577,43.4,43.1,43.6,N/A,N/A,38,198,747,351,279,206,58.5%,20.1%,,1600000US0677784,
Ukiah city,"16,607","8,011","8,596",38.2,36.2,40.3,N/A,N/A,"1,015","3,847","12,109","5,136","4,118","3,100",51.8%,23.2%,,1600000US0681134,
Willits city,"4,988","2,360","2,628",40.2,37.2,42.9,N/A,N/A,271,"1,148","3,684","1,618","1,322",982,52.7%,23.0%,,1600000US0685600,
Merced County,"281,202","140,337","140,865",32.0,31.0,32.9,N/A,N/A,"20,026","80,979","184,766","62,992","47,623","33,481",50.1%,28.8%,,0500000US06047,
Atwater city,"31,970","15,647","16,323",33.2,31.1,34.9,N/A,N/A,"2,363","9,409","21,148","7,506","5,692","4,097",51.1%,29.4%,,1600000US0603162,
Ballico CDP,347,173,174,32.9,32.5,33.5,N/A,N/A,23,89,240,91,62,39,50.1%,25.6%,,1600000US0603708,
Bear Creek CDP,273,134,139,33.9,32.5,36.3,N/A,N/A,21,76,191,81,63,47,50.9%,27.8%,,1600000US0604632,
Cressey CDP,366,177,189,33.0,35.5,31.6,N/A,N/A,19,118,239,91,68,51,51.6%,32.2%,,1600000US0617078,
Delhi CDP,"10,656","5,422","5,234",30.8,29.9,31.9,N/A,N/A,766,"3,212","6,909","2,030","1,429",956,49.1%,30.1%,,1600000US0618464,
Dos Palos city,"5,798","2,848","2,950",32.1,31.5,32.7,N/A,N/A,431,"1,727","3,808","1,323",972,698,50.9%,29.8%,,1600000US0619612,
Dos Palos Y CDP,310,167,143,35.0,32.9,36.5,N/A,N/A,14,84,218,76,60,39,46.1%,27.1%,,1600000US0619654,
El Nido CDP,331,172,159,29.4,31.3,26.8,N/A,N/A,18,99,214,47,32,19,48.0%,29.9%,,1600000US0622286,
Franklin CDP,"6,919","3,438","3,481",30.1,29.2,31.4,N/A,N/A,585,"2,204","4,403","1,379","1,004",627,50.3%,31.9%,,1600000US0625488,
Gustine city,"6,110","3,017","3,093",35.3,33.8,37.1,N/A,N/A,414,"1,670","4,153","1,687","1,302",980,50.6%,27.3%,,1600000US0631568,
Hilmar-Irwin CDP,"5,164","2,493","2,671",39.4,38.3,40.3,N/A,N/A,316,"1,216","3,731","1,605","1,244",906,51.7%,23.5%,,1600000US0633861,
Le Grand CDP,"1,592",833,759,35.3,33.3,36.9,N/A,N/A,91,442,"1,075",400,296,207,47.7%,27.8%,,1600000US0641040,
Livingston city,"14,172","7,054","7,118",32.2,31.2,33.2,N/A,N/A,"1,019","3,978","9,494","3,088","2,305","1,544",50.2%,28.1%,,1600000US0642006,
Los Banos city,"45,532","22,548","22,984",31.6,30.7,32.5,N/A,N/A,"3,359","14,075","29,193","9,578","7,120","4,914",50.5%,30.9%,,1600000US0644028,
McSwain CDP,"4,480","2,259","2,221",42.2,41.3,43.1,N/A,N/A,203,"1,106","3,211","1,512","1,142",785,49.6%,24.7%,,1600000US0645006,
Merced city,"86,333","42,330","44,003",30.5,29.5,31.7,N/A,N/A,"6,442","24,986","56,758","18,266","13,999","9,972",51.0%,28.9%,,1600000US0646898,
Planada CDP,"4,164","2,087","2,077",32.2,31.1,33.2,N/A,N/A,267,"1,248","2,722",920,649,439,49.9%,30.0%,,1600000US0657582,
Santa Nella CDP,"2,211","1,151","1,060",31.2,30.7,31.8,N/A,N/A,205,712,"1,412",416,280,173,47.9%,32.2%,,1600000US0670028,
Snelling CDP,238,129,109,43.3,39.5,49.5,N/A,N/A,11,56,177,86,69,50,45.8%,23.5%,,1600000US0672408,
South Dos Palos CDP,"1,747",908,839,29.2,28.9,29.5,N/A,N/A,176,621,"1,063",305,231,168,48.0%,35.5%,,1600000US0672954,
Stevinson CDP,275,145,130,37.3,32.3,44.3,N/A,N/A,21,79,192,83,67,40,47.3%,28.7%,,1600000US0674144,
Tuttle CDP,102,57,45,42.0,44.8,35.3,N/A,N/A,4,24,70,26,19,14,44.1%,23.5%,,1600000US0680882,
University of California-Merced CDP,0,0,0,-,-,-,N/A,N/A,0,0,0,0,0,0,-,-,,1600000US0681312,
Volta CDP,366,180,186,28.9,34.0,26.3,N/A,N/A,31,113,231,90,69,46,50.8%,30.9%,,1600000US0683108,
Winton CDP,"11,709","5,854","5,855",28.6,28.4,28.8,N/A,N/A,976,"3,878","7,250","2,079","1,525","1,058",50.0%,33.1%,,1600000US0686076,
Modoc County,"8,700","4,347","4,353",48.7,47.3,49.7,N/A,N/A,452,"1,795","6,698","3,733","3,081","2,320",50.0%,20.6%,,0500000US06049,
Adin CDP,205,96,109,57.6,51.0,58.8,N/A,N/A,13,38,163,114,79,46,53.2%,18.5%,,1600000US0600310,
Alturas city,"2,715","1,290","1,425",38.9,38.3,40.2,N/A,N/A,161,673,"1,961",912,725,537,52.5%,24.8%,,1600000US0601444,
California Pines CDP,473,254,219,46.5,42.3,57.1,N/A,N/A,29,101,364,199,149,110,46.3%,21.4%,,1600000US0609834,
Canby CDP,183,98,85,55.5,57.5,51.5,N/A,N/A,6,25,154,93,79,56,46.4%,13.7%,,1600000US0610732,
Cedarville CDP,437,199,238,56.1,50.3,59.0,N/A,N/A,22,80,343,220,196,151,54.5%,18.3%,,1600000US0612328,
Daphnedale Park CDP,129,55,74,44.3,55.8,43.3,N/A,N/A,7,29,99,56,48,29,57.4%,22.5%,,1600000US0617995,
Eagleville CDP,45,15,30,65.8,65.5,67.0,N/A,N/A,0,3,42,33,28,25,66.7%,6.7%,,1600000US0620424,
Fort Bidwell CDP,180,97,83,47.5,39.8,52.5,N/A,N/A,9,35,140,71,66,50,46.1%,19.4%,,1600000US0625030,
Lake City CDP,71,41,30,53.2,52.5,53.7,N/A,N/A,3,15,55,32,31,25,42.3%,21.1%,,1600000US0639472,
Likely CDP,58,26,32,59.4,64.0,56.3,N/A,N/A,3,7,49,43,26,20,55.2%,12.1%,,1600000US0641390,
Lookout CDP,68,40,28,51.0,58.3,37.0,N/A,N/A,4,20,48,31,25,25,41.2%,29.4%,,1600000US0643126,
Newell CDP,301,155,146,45.9,46.8,45.0,N/A,N/A,17,77,217,113,95,64,48.5%,25.6%,,1600000US0651042,
New Pine Creek CDP,87,44,43,59.2,62.5,56.8,N/A,N/A,5,11,74,54,38,35,49.4%,12.6%,,1600000US0651168,
Mono County,"13,195","7,048","6,147",39.5,39.5,39.5,N/A,N/A,717,"2,640","10,150","4,074","3,148","2,128",46.6%,20.0%,,0500000US06051,
Aspen Springs CDP,70,35,35,49.5,53.1,37.2,N/A,N/A,1,16,54,26,15,12,50.0%,22.9%,,1600000US0603026,
Benton CDP,279,137,142,48.3,45.6,52.5,N/A,N/A,9,51,224,112,87,45,50.9%,18.3%,,1600000US0605346,
Bridgeport CDP,553,298,255,45.2,44.0,45.9,N/A,N/A,31,98,438,210,163,112,46.1%,17.7%,,1600000US0608240,
Chalfant CDP,660,331,329,52.6,53.1,52.2,N/A,N/A,30,130,515,301,230,173,49.8%,19.7%,,1600000US0612594,
Coleville CDP,419,202,217,29.3,29.4,29.2,N/A,N/A,39,129,282,88,70,38,51.8%,30.8%,,1600000US0614484,
Crowley Lake CDP,980,528,452,42.9,42.6,44.0,N/A,N/A,68,221,725,375,277,187,46.1%,22.6%,,1600000US0617372,
June Lake CDP,611,317,294,43.6,45.3,40.3,N/A,N/A,28,102,500,226,182,135,48.1%,16.7%,,1600000US0637624,
Lee Vining CDP,217,102,115,42.5,48.5,39.8,N/A,N/A,10,46,161,70,56,38,53.0%,21.2%,,1600000US0640998,
McGee Creek CDP,45,22,23,46.3,46.5,45.5,N/A,N/A,2,12,31,17,10,8,51.1%,26.7%,,1600000US0644830,
Mammoth Lakes town,"7,191","3,896","3,295",36.5,37.0,36.2,N/A,N/A,407,"1,503","5,445","1,677","1,258",793,45.8%,20.9%,,1600000US0645358,
Mono City CDP,224,112,112,41.8,47.3,40.8,N/A,N/A,10,49,168,87,76,54,50.0%,21.9%,,1600000US0648602,
Paradise CDP,174,96,78,59.6,59.7,59.5,N/A,N/A,5,21,150,109,84,74,44.8%,12.1%,,1600000US0655528,
Sunny Slopes CDP,139,69,70,54.8,53.5,56.2,N/A,N/A,3,18,120,69,53,34,50.4%,12.9%,,1600000US0676040,
Swall Meadows CDP,178,94,84,63.1,62.8,63.4,N/A,N/A,5,11,164,115,105,61,47.2%,6.2%,,1600000US0677430,
Topaz CDP,150,89,61,49.7,49.8,46.5,N/A,N/A,12,24,124,67,55,43,40.7%,16.0%,,1600000US0679030,
Twin Lakes CDP,45,31,14,45.5,45.5,45.0,N/A,N/A,1,6,36,18,12,11,31.1%,13.3%,,1600000US0681048,
Virginia Lakes CDP,7,4,3,55.5,64.0,18.5,N/A,N/A,0,1,4,4,3,0,42.9%,14.3%,,1600000US0682929,
Walker CDP,704,369,335,56.6,50.1,59.4,N/A,N/A,29,99,590,369,306,230,47.6%,14.1%,,1600000US0683262,
Monterey County,"439,035","221,123","217,912",35.0,34.0,36.0,N/A,N/A,"26,907","111,258","307,491","111,166","86,741","62,416",49.6%,25.3%,,0500000US06053,
Aromas CDP (part),"1,365",702,663,43.9,42.3,45.1,N/A,N/A,51,237,"1,073",510,419,300,48.6%,17.4%,,1550000US0602812053,
Boronda CDP,"1,760",926,834,33.1,32.3,33.5,N/A,N/A,102,475,"1,205",355,241,137,47.4%,27.0%,,1600000US0607578,
Bradley CDP,69,22,47,60.3,61.0,60.3,N/A,N/A,0,4,65,41,35,27,68.1%,5.8%,,1600000US0607974,
Carmel-by-the-Sea city,"3,220","1,444","1,776",63.0,62.7,63.2,N/A,N/A,62,329,"2,833","2,057","1,799","1,488",55.2%,10.2%,,1600000US0611250,
Carmel Valley Village CDP,"4,524","2,115","2,409",53.4,51.8,54.7,N/A,N/A,152,788,"3,607","2,172","1,857","1,423",53.2%,17.4%,,1600000US0611324,
Castroville CDP,"7,515","3,774","3,741",28.2,27.5,28.9,N/A,N/A,672,"2,531","4,612","1,225",884,593,49.8%,33.7%,,1600000US0611978,
Chualar CDP,"1,185",631,554,30.3,29.1,31.8,N/A,N/A,76,377,758,211,146,101,46.8%,31.8%,,1600000US0613364,
Del Monte Forest CDP,"4,204","2,019","2,185",60.0,59.8,60.1,N/A,N/A,93,656,"3,400","2,407","2,099","1,747",52.0%,15.6%,,1600000US0618590,
Del Rey Oaks city,"1,592",768,824,49.3,47.0,51.5,N/A,N/A,61,218,"1,336",668,540,417,51.8%,13.7%,,1600000US0618688,
Elkhorn CDP,"1,588",768,820,39.9,39.1,41.0,N/A,N/A,65,328,"1,190",561,449,313,51.6%,20.7%,,1600000US0622034,
Fort Hunter Liggett CDP,250,140,110,34.5,28.0,39.3,N/A,N/A,27,63,174,55,45,23,44.0%,25.2%,,1600000US0625093,
Gonzales city,"8,647","4,377","4,270",29.8,28.9,31.3,N/A,N/A,613,"2,652","5,546","1,573","1,151",743,49.4%,30.7%,,1600000US0630392,
Greenfield city,"18,937","9,556","9,381",27.3,26.8,27.8,N/A,N/A,"1,775","6,664","11,353","2,768","1,999","1,270",49.5%,35.2%,,1600000US0630994,
King City city,"13,332","6,850","6,482",28.7,28.3,29.2,N/A,N/A,"1,119","4,482","8,209","1,971","1,428",958,48.6%,33.6%,,1600000US0638520,
Las Lomas CDP,"3,046","1,575","1,471",30.1,30.8,29.0,N/A,N/A,233,911,"2,006",565,424,293,48.3%,29.9%,,1600000US0640592,
Lockwood CDP,368,208,160,42.7,41.9,43.7,N/A,N/A,2,78,272,118,101,80,43.5%,21.2%,,1600000US0642146,
Marina city,"22,359","10,613","11,746",35.6,34.5,36.7,N/A,N/A,"1,160","5,304","15,862","6,064","4,713","3,273",52.5%,23.7%,,1600000US0645778,
Monterey city,"30,218","15,345","14,873",36.7,34.5,39.5,N/A,N/A,"1,282","3,861","24,079","9,609","7,872","6,023",49.2%,12.8%,,1600000US0648872,
Moss Landing CDP,237,138,99,51.3,55.3,42.5,N/A,N/A,10,34,191,109,74,54,41.8%,14.3%,,1600000US0649488,
Pacific Grove city,"15,090","7,029","8,061",49.2,46.9,51.3,N/A,N/A,530,"2,659","12,078","6,465","5,501","4,327",53.4%,17.6%,,1600000US0654848,
Pajaro CDP,"2,882","1,519","1,363",27.9,27.6,28.3,N/A,N/A,271,994,"1,703",412,287,172,47.3%,34.5%,,1600000US0655044,
Pine Canyon CDP,"1,871",937,934,37.7,34.5,40.1,N/A,N/A,121,468,"1,315",491,382,278,49.9%,25.0%,,1600000US0657070,
Prunedale CDP,"18,885","9,544","9,341",40.8,39.7,42.0,N/A,N/A,988,"4,185","13,969","6,319","4,932","3,474",49.5%,22.2%,,1600000US0658870,
Salinas city,"163,542","81,671","81,871",31.6,30.7,32.5,N/A,N/A,"11,543","47,628","108,152","31,776","23,654","16,087",50.1%,29.1%,,1600000US0664224,
San Ardo CDP,392,226,166,28.8,30.4,24.8,N/A,N/A,21,136,238,82,64,48,42.3%,34.7%,,1600000US0664476,
Sand City city,325,174,151,42.4,39.0,43.8,N/A,N/A,12,47,264,97,60,44,46.5%,14.5%,,1600000US0665112,
San Lucas CDP,324,162,162,28.8,29.0,28.7,N/A,N/A,28,112,200,48,43,29,50.0%,34.6%,,1600000US0668140,
Seaside city,"32,366","15,899","16,467",34.0,33.2,34.7,N/A,N/A,"2,026","8,011","22,728","7,463","5,606","3,913",50.9%,24.8%,,1600000US0670742,
Soledad city,"24,925","15,378","9,547",33.1,34.0,30.2,N/A,N/A,"1,379","6,107","17,766","3,598","2,401","1,450",38.3%,24.5%,,1600000US0672520,
Spreckels CDP,692,341,351,39.7,40.4,39.1,N/A,N/A,52,195,485,235,191,130,50.7%,28.2%,,1600000US0673612,
Napa County,"138,019","67,777","70,242",42.9,41.3,44.4,N/A,N/A,"6,139","27,546","105,537","47,661","38,053","28,688",50.9%,20.0%,,0500000US06055,
American Canyon city,"21,837","10,641","11,196",38.3,36.6,39.7,N/A,N/A,990,"5,276","15,577","5,736","4,218","2,915",51.3%,24.2%,,1600000US0601640,
Angwin CDP,"2,633","1,272","1,361",32.1,34.8,30.0,N/A,N/A,81,394,"1,881",675,518,380,51.7%,15.0%,,1600000US0602168,
Calistoga city,"5,228","2,501","2,727",44.8,42.3,47.2,N/A,N/A,248,"1,107","3,987","1,938","1,608","1,255",52.2%,21.2%,,1600000US0609892,
Deer Park CDP,"1,294",572,722,56.0,53.5,57.3,N/A,N/A,32,190,"1,077",668,574,464,55.8%,14.7%,,1600000US0618324,
Moskowite Corner CDP,237,113,124,39.3,39.8,38.9,N/A,N/A,15,47,185,76,44,26,52.3%,19.8%,,1600000US0649432,
Napa city,"79,246","38,759","40,487",40.9,39.2,42.6,N/A,N/A,"3,856","16,291","60,277","25,161","19,769","14,666",51.1%,20.6%,,1600000US0650258,
Oakville CDP,49,18,31,51.5,56.5,40.9,N/A,N/A,1,7,42,22,20,20,63.3%,14.3%,,1600000US0653196,
Rutherford CDP,115,58,57,52.5,41.0,56.5,N/A,N/A,2,14,98,45,37,32,49.6%,12.2%,,1600000US0663400,
St. Helena city,"5,430","2,538","2,892",48.0,46.2,49.9,N/A,N/A,185,"1,041","4,204","2,216","1,853","1,456",53.3%,19.2%,,1600000US0664140,
Silverado Resort CDP,948,454,494,61.2,60.2,63.2,N/A,N/A,27,119,820,626,504,410,52.1%,12.6%,,1600000US0671927,
Yountville city,"3,436","1,822","1,614",74.0,74.2,73.3,N/A,N/A,51,187,"3,225","2,704","2,545","2,295",47.0%,5.4%,,1600000US0686930,
Nevada County,"102,241","50,424","51,817",49.7,47.8,51.6,N/A,N/A,"4,186","17,910","81,732","44,944","37,460","28,559",50.7%,17.5%,,0500000US06057,
Alta Sierra CDP,"7,204","3,443","3,761",50.7,49.1,52.3,N/A,N/A,328,"1,391","5,642","3,280","2,742","2,114",52.2%,19.3%,,1600000US0601360,
Floriston CDP,80,58,22,38.6,38.4,41.0,N/A,N/A,11,20,57,19,16,12,27.5%,25.0%,,1600000US0624526,
Graniteville CDP,1,0,1,34.5,-,34.5,N/A,N/A,0,0,1,0,0,0,100.0%,0.0%,,1600000US0630714,
Grass Valley city,"14,016","6,279","7,737",47.5,41.8,53.1,N/A,N/A,629,"2,467","11,206","5,990","5,197","4,275",55.2%,17.6%,,1600000US0630798,
Kingvale CDP (part),126,76,50,48.0,51.3,42.0,N/A,N/A,2,22,103,42,32,21,39.7%,17.5%,,1550000US0638604057,
